Company,Rating,CocoaPercentage
A. Morin,3.75,63
A. Morin,2.75,70
A. Morin,3.0,70
A. Morin,3.5,70
A. Morin,3.5,70
A. Morin,2.75,70
A. Morin,3.5,70
A. Morin,3.5,70
A. Morin,3.75,70
A. Morin,4.0,70
A. Morin,2.75,70
A. Morin,3.0,70
A. Morin,3.25,70
A. Morin,3.75,70
A. Morin,2.75,70
A. Morin,3.0,70
A. Morin,3.25,70
A. Morin,4.0,70
A. Morin,3.25,70
A. Morin,3.5,70
A. Morin,4.0,63
A. Morin,3.5,70
A. Morin,3.75,63
Acalli,3.75,70
Acalli,3.75,70
Adi,2.75,60
Adi,3.25,80
Adi,3.5,88
Adi,3.5,72
Aequare (Gianduja),2.75,55
Aequare (Gianduja),3.0,70
Ah Cacao,3.0,70
Akesson's (Pralus),3.75,75
Akesson's (Pralus),2.75,75
Akesson's (Pralus),2.75,75
Alain Ducasse,2.75,65
Alain Ducasse,2.75,75
Alain Ducasse,3.0,75
Alain Ducasse,2.5,75
Alain Ducasse,2.5,75
Alexandre,3.5,70
Alexandre,3.5,70
Alexandre,3.5,70
Alexandre,3.5,70
Altus aka Cao Artisan,2.75,60
Altus aka Cao Artisan,3.0,60
Altus aka Cao Artisan,2.5,60
Altus aka Cao Artisan,2.5,60
Altus aka Cao Artisan,2.75,60
Altus aka Cao Artisan,2.5,60
Altus aka Cao Artisan,3.0,60
Altus aka Cao Artisan,3.25,80
Altus aka Cao Artisan,3.0,60
Altus aka Cao Artisan,3.25,60
Amano,4.0,70
Amano,3.75,70
Amano,4.0,70
Amano,3.0,70
Amano,3.0,70
Amano,2.75,70
Amano,3.5,70
Amano,3.0,70
Amano,3.75,70
Amatller (Simon Coll),3.0,70
Amatller (Simon Coll),2.75,70
Amatller (Simon Coll),2.75,85
Amatller (Simon Coll),3.0,85
Amazona,3.25,72
Amazona,3.5,73
Ambrosia,3.0,64
Ambrosia,3.25,66
Ambrosia,3.25,75
Ambrosia,3.25,63
Ambrosia,3.25,70
Ambrosia,3.5,68
Amedei,3.75,70
Amedei,4.0,70
Amedei,4.0,75
Amedei,5.0,70
Amedei,3.0,70
Amedei,3.0,70
Amedei,3.5,70
Amedei,3.75,70
Amedei,4.0,70
Amedei,3.5,70
Amedei,3.5,63
Amedei,5.0,70
Amedei,4.0,66
AMMA,3.25,75
AMMA,2.75,85
AMMA,3.75,50
AMMA,3.75,75
AMMA,4.0,60
Anahata,3.0,75
Animas,3.5,75
Ara,3.0,75
Ara,2.5,72
Ara,2.75,75
Ara,3.0,75
Arete,3.5,70
Arete,3.75,70
Arete,3.5,73
Arete,3.25,70
Arete,3.25,70
Arete,3.5,70
Arete,3.75,70
Arete,3.5,70
Arete,4.0,70
Arete,4.0,70
Arete,3.75,70
Arete,3.25,70
Arete,3.25,73
Arete,3.5,70
Arete,3.5,68
Arete,3.75,70
Arete,3.5,70
Arete,3.75,70
Arete,4.0,70
Arete,2.75,75
Arete,3.25,70
Arete,3.5,75
Artisan du Chocolat,3.25,72
Artisan du Chocolat,3.75,72
Artisan du Chocolat,4.0,72
Artisan du Chocolat,2.75,72
Artisan du Chocolat,1.75,100
Artisan du Chocolat,3.75,72
Artisan du Chocolat,3.25,72
Artisan du Chocolat,3.25,72
Artisan du Chocolat,3.5,72
Artisan du Chocolat,2.5,75
Artisan du Chocolat,2.75,72
Artisan du Chocolat,1.75,72
Artisan du Chocolat,3.0,80
Artisan du Chocolat,3.0,75
Artisan du Chocolat,3.25,72
Artisan du Chocolat,3.75,72
Artisan du Chocolat (Casa Luker),2.75,72
Askinosie,3.75,68
Askinosie,3.75,72
Askinosie,3.75,70
Askinosie,3.75,77
Askinosie,2.5,75
Askinosie,3.0,70
Bahen & Co.,3.25,80
Bahen & Co.,3.5,70
Bahen & Co.,3.0,70
Bahen & Co.,2.5,70
Bahen & Co.,2.5,70
Bakau,2.75,70
Bakau,3.5,70
Bar Au Chocolat,3.5,70
Bar Au Chocolat,4.0,70
Bar Au Chocolat,3.25,70
Bar Au Chocolat,3.5,70
Bar Au Chocolat,3.75,70
Baravelli's,2.75,80
Batch,3.5,65
Batch,3.75,70
Batch,3.25,65
Beau Cacao,3.0,73
Beau Cacao,3.25,72
Beehive,2.75,80
Beehive,2.75,70
Beehive,2.75,70
Beehive,2.75,90
Belcolade,2.75,64
Belcolade,2.75,64
Belcolade,2.75,64
Belcolade,3.5,71
Bellflower,3.5,70
Bellflower,3.25,70
Bellflower,3.5,70
Belyzium,2.75,83
Belyzium,3.0,78
Belyzium,3.5,83
Benoit Nihant,3.5,74
Benoit Nihant,3.5,74
Benoit Nihant,3.5,74
Benoit Nihant,4.0,73
Benoit Nihant,4.0,72
Benoit Nihant,3.75,72
Bernachon,2.75,55
Beschle (Felchlin),3.0,64
Beschle (Felchlin),3.0,88
Beschle (Felchlin),3.5,72
Beschle (Felchlin),4.0,72
Beschle (Felchlin),3.25,70
Beschle (Felchlin),3.25,74
Beschle (Felchlin),3.5,64
Beschle (Felchlin),3.5,72
Bisou,2.5,76
Bisou,2.5,76
Bisou,2.5,78
Bisou,3.25,86
Bittersweet Origins,3.5,72
Bittersweet Origins,3.25,75
Bittersweet Origins,3.75,70
Bittersweet Origins,2.75,65
Bittersweet Origins,3.0,70
Bittersweet Origins,3.0,78
Bittersweet Origins,3.0,75
Bittersweet Origins,3.5,65
Bittersweet Origins,3.25,75
Bittersweet Origins,3.5,65
Bittersweet Origins,3.0,71
Bittersweet Origins,3.5,75
Bittersweet Origins,3.75,68
Bittersweet Origins,3.0,70
Black Mountain,2.75,70
Black Mountain,2.75,70
Black Mountain,3.0,70
Black River (A. Morin),2.75,70
Blanxart,3.5,82
Blanxart,2.75,72
Blue Bandana,3.5,82
Blue Bandana,2.75,75
Blue Bandana,3.5,75
Blue Bandana,3.0,75
Blue Bandana,3.5,70
Blue Bandana,3.75,70
Bonnat,3.5,75
Bonnat,4.0,75
Bonnat,3.25,75
Bonnat,3.75,65
Bonnat,3.5,75
Bonnat,3.25,75
Bonnat,3.5,75
Bonnat,3.5,75
Bonnat,3.5,75
Bonnat,3.75,75
Bonnat,4.0,75
Bonnat,4.0,75
Bonnat,3.5,75
Bonnat,3.25,75
Bonnat,3.0,75
Bonnat,2.75,75
Bonnat,3.0,75
Bonnat,3.0,75
Bonnat,4.0,75
Bonnat,2.5,75
Bonnat,3.75,75
Bonnat,4.0,75
Bonnat,4.0,75
Bonnat,4.0,75
Bonnat,1.5,100
Bonnat,3.0,75
Bonnat,4.0,75
Bouga Cacao (Tulicorp),3.25,77
Bouga Cacao (Tulicorp),1.5,100
Bowler Man,2.75,70
Bowler Man,2.75,70
Brasstown aka It's Chocolate,3.5,70
Brasstown aka It's Chocolate,3.75,70
Brasstown aka It's Chocolate,3.75,68
Brasstown aka It's Chocolate,3.75,70
Brasstown aka It's Chocolate,4.0,70
Brasstown aka It's Chocolate,3.0,72
Brasstown aka It's Chocolate,3.25,70
Brasstown aka It's Chocolate,3.5,75
Brasstown aka It's Chocolate,3.5,85
Brazen,3.0,60
Brazen,3.25,80
Brazen,3.5,70
Brazen,2.75,80
Brazen,3.25,80
Brazen,3.25,60
Breeze Mill,3.0,70
Bright,3.0,72
Bright,3.5,70
Bright,3.5,72
Bright,2.75,68
Britarev,3.25,70
Bronx Grrl Chocolate,2.75,68
Burnt Fork Bend,3.25,72
Burnt Fork Bend,3.5,72
Burnt Fork Bend,3.25,72
Burnt Fork Bend,3.25,72
Burnt Fork Bend,2.5,60
Cacao Arabuco,2.5,70
Cacao Atlanta,2.5,75
Cacao Atlanta,2.5,75
Cacao Atlanta,2.75,75
Cacao Atlanta,2.25,75
Cacao Barry,3.5,65
Cacao Barry,3.0,70
Cacao Barry,2.0,75
Cacao Barry,2.0,72
Cacao Barry,3.0,66
Cacao de Origen,3.5,77
Cacao de Origen,3.25,75
Cacao de Origen,2.5,75
Cacao de Origen,3.25,74
Cacao de Origen,3.5,75
